,gene name,logFC,pvalue,padj,G1,G2,G3,B1,B2,B3,classification
CLEC16A,CLEC16A,0.627242446364014,4.1348474499042e-13,1.11649586089413e-11,875.295348601156,896.197498799944,877.241285399713,1470.77745453996,1345.71182568227,1274.38750649539,Up
CLEC2B,CLEC2B,1.21774759125305,2.786639029747e-19,1.32621269742245e-17,401.940018866012,289.755046244127,337.400494384505,816.866455575458,683.140918749406,893.670904136516,Up
CLEC7A,CLEC7A,2.32969342855796,0.00472547663856608,0.0201760863402958,0.915580908578615,4.64351035647639,3.74889438205006,19.8471389462068,10.8263220087069,15.9964958974317,Up
CLIC1,CLIC1,0.662763551607528,2.53228568834462e-18,1.11229781639411e-16,3416.03236990681,3462.2013217888,3353.38602474378,6081.58120762189,5002.84340022346,5112.48008881916,Up
CLIP2,CLIP2,1.18769289221818,5.41042939584147e-42,8.7840718267168e-40,736.127050497206,792.182866814873,722.599392140149,1848.91768077821,1618.53514030168,1659.36984109358,Up
CLN8,CLN8,0.668922124758485,6.83154635076274e-16,2.43055238543365e-14,908.256261309986,942.632602364708,891.299639332401,1443.61821177146,1382.52132051187,1533.53074003378,Up
CLSTN1,CLSTN1,0.570135801874686,8.14617931062186e-17,3.14707517584446e-15,3871.07608147038,3938.62548436328,3656.10924609432,5722.24353406951,6068.15348588022,5232.98702457981,Up
CLTC,CLTC,0.56629040896373,3.50902340996869e-20,1.78244492103993e-18,19960.5793879224,19990.3120846309,20114.6928068896,31955.9828759136,27294.240416151,29688.4299525734,Up
CLU,CLU,1.16212086114159,2.42777739740757e-56,6.55551008403146e-54,1002.56109489358,1053.14814884885,980.33588090609,2250.03880474365,2302.75869125196,2241.64229176009,Up
CMAHP,CMAHP,1.0199012565416,5.85960840771547e-10,1.03265506897532e-08,140.999459921107,137.447906551701,178.072483147378,321.732568180615,287.980165431604,315.664185709318,Up
CMTM3,CMTM3,0.588490044380693,2.9856491922321e-12,7.37130635987852e-11,876.210929509734,889.696584300877,816.3217517,1299.46530784638,1331.63760707095,1251.99241223899,Up
CNIH3,CNIH3,0.707625300655276,0.000134841558056357,0.00090790024441876,120.856679932377,169.952479047036,164.951352810203,283.082876548528,220.856968977621,239.947438461475,Up
CNKSR2,CNKSR2,1.30229397161399,0.00037756967290545,0.00226665510165472,32.0453318002515,36.2193807805159,14.9955775282002,61.6305893592737,63.8752998513707,79.9824794871584,Up
CNNM1,CNNM1,0.535800858086736,0.0106589272441607,0.0400209018833739,147.408526281157,117.9451631,146.206880899952,248.611529957748,149.403243720155,198.356549128153,Up
CNTN5,CNTN5,0.952136817821233,0.000642186005311993,0.00360625118394554,44.8634645203521,42.7202952795828,44.9867325846007,87.7452458674405,87.6932082705259,81.0489125469872,Up
CNTN6,CNTN6,0.842760311668831,2.24371594890989e-11,4.86172108202269e-10,364.401201614289,337.118851880186,364.579978654368,553.630717973137,729.694103386845,629.195505298979,Up
CNTNAP1,CNTNAP1,0.601129138507582,1.9458781783685e-07,2.33032992677445e-06,681.192195982489,726.245019752908,677.612659555548,941.172220554332,1268.84493942045,953.391155486928,Up
COL11A1,COL11A1,1.7616296040122,1.55150088556865e-58,4.73798818054844e-56,401.940018866012,376.124338874588,432.997301126782,1201.27419937567,1536.25509303551,1369.30004882015,Up
COL12A1,COL12A1,1.53595743031967,2.73360874371821e-163,1.00175044991228e-159,20078.689325129,19115.4747334707,19173.720316995,53290.6126568255,59480.8957480366,56485.7598799509,Up
COL14A1,COL14A1,1.03681311059556,8.65848182127757e-09,1.29963356161154e-07,155.648754458364,131.87569412393,183.695824720453,295.617911672448,389.747592313448,281.538327794797,Up
COL16A1,COL16A1,1.46010140352768,4.85241814528733e-44,8.35397518543025e-42,1115.17754664875,1323.40045159577,1036.56929663684,2856.94342199345,3724.25477099517,2980.68040222144,Up
COL19A1,COL19A1,1.43585214399339,4.92650032352696e-10,8.77601293743845e-09,88.8113481321256,48.2925077073545,85.2873471916388,189.070113119128,216.526440174138,196.223683008495,Up
COL1A1,COL1A1,1.82750155141638,1.29189203388547e-124,2.20930763021534e-121,43204.4319140077,43763.2277056474,39939.7835227658,138159.067963326,172438.409058081,139826.43707251,Up
COL1A2,COL1A2,1.72360438036692,4.34400421893641e-109,4.12712578607988e-106,31907.9946639647,32813.8302850761,32334.2140451817,100681.402115326,123814.149020376,96042.9613681798,Up
COL27A1,COL27A1,0.66222327013774,8.56989256494717e-09,1.28708948522263e-07,593.296428758942,682.59602240203,492.04238764407,897.299597620612,959.212129971431,941.660391828811,Up
COL28A1,COL28A1,2.1106991676495,1.70575377895391e-05,0.000140830369931528,10.0713899943648,16.716637283315,13.1211303371752,21.9363114668601,80.1147828644311,70.3845819486994,Up
COL3A1,COL3A1,2.22902340883298,3.00912296644527e-199,3.85950111676271e-195,37719.1866907132,37327.3223515711,36692.3037643149,158823.073365109,199926.440638188,165101.967023512,Up
COL4A1,COL4A1,0.90610891519113,3.31511329278221e-64,1.25057773803602e-61,8637.59029153065,8006.3405566366,8338.47832927484,15839.0614653333,15542.2678756996,15435.5521079617,Up
COL4A2,COL4A2,1.07159441012526,7.16243122165742e-87,4.27280664413851e-84,7121.38830692446,7107.35695162277,6864.22561353366,14981.4561456051,15166.5945019975,14184.6261287826,Up
COL5A1,COL5A1,2.45428131298122,1.76065365138471e-250,4.51642874653206e-246,2357.62083958993,2374.69119630203,2124.68589102687,11633.5571812582,13711.5368240273,12236.2529284754,Up
COL5A2,COL5A2,0.579353845750639,8.39683199439029e-23,5.11628347553681e-21,19761.8983307608,18856.3668555793,19937.5575473377,27216.6950128115,30806.2992757755,29470.8776083683,Up
COL5A3,COL5A3,2.36679719626752,1.53588845724065e-174,6.56643511752286e-171,506.316242443974,483.85377914484,478.921257306895,2685.63127529988,2519.2851314261,2372.81355811903,Up
